dataset,candidate,scope,kappa,epoch,guard_kind,n_probe,harm_frequency,mean_positive_harm,mean_delta,probe_disjoint
OpenBMI,P2_ALL_CAP10,ALL,0.1,4,TRUE_GUARD,15,0.5333333333333333,0.00011143088340759277,1.2704730033874512e-05,True
OpenBMI,P2_ALL_CAP10,ALL,0.1,5,TRUE_GUARD,20,0.6,0.00011328160762786865,5.873292684555054e-05,True
OpenBMI,P3_ALL_CAP20,ALL,0.2,1,TRUE_GUARD,15,0.4,7.397631804148355e-05,-0.0001251359780629476,True
OpenBMI,P3_ALL_CAP20,ALL,0.2,2,TRUE_GUARD,15,0.6,0.00012971262137095134,7.800857226053874e-05,True
OpenBMI,P3_ALL_CAP20,ALL,0.2,3,TRUE_GUARD,20,0.45,3.735795617103577e-05,-6.129741668701172e-05,True
OpenBMI,P3_ALL_CAP20,ALL,0.2,4,TRUE_GUARD,15,0.5333333333333333,0.00011157592137654623,1.3946493466695149e-05,True
OpenBMI,P3_ALL_CAP20,ALL,0.2,5,TRUE_GUARD,20,0.6,0.00011317357420921325,5.8639049530029294e-05,True
OpenBMI,P4_LATE_CAP05,LATE,0.05,1,TRUE_GUARD,15,0.4,8.177657922108968e-05,-0.00012107590834299723,True
OpenBMI,P4_LATE_CAP05,LATE,0.05,2,TRUE_GUARD,15,0.6666666666666666,0.0001684705416361491,0.0001246720552444458,True
OpenBMI,P4_LATE_CAP05,LATE,0.05,3,TRUE_GUARD,20,0.5,4.299208521842957e-05,-5.5447965860366824e-05,True
OpenBMI,P4_LATE_CAP05,LATE,0.05,4,TRUE_GUARD,15,0.5333333333333333,0.0001251111427942912,1.8921494483947753e-05,True
OpenBMI,P4_LATE_CAP05,LATE,0.05,5,TRUE_GUARD,20,0.6,0.00011533945798873902,5.985423922538757e-05,True
OpenBMI,P5_LATE_CAP10,LATE,0.1,1,TRUE_GUARD,15,0.4,8.11298688252767e-05,-0.00012120604515075684,True
OpenBMI,P5_LATE_CAP10,LATE,0.1,2,TRUE_GUARD,15,0.6666666666666666,0.00016733209292093913,0.0001228878895441691,True
OpenBMI,P5_LATE_CAP10,LATE,0.1,3,TRUE_GUARD,20,0.45,4.116073250770569e-05,-5.741119384765625e-05,True
OpenBMI,P5_LATE_CAP10,LATE,0.1,4,TRUE_GUARD,15,0.5333333333333333,0.00012554824352264404,1.9328792889912925e-05,True
OpenBMI,P5_LATE_CAP10,LATE,0.1,5,TRUE_GUARD,20,0.6,0.00011536180973052979,5.971863865852356e-05,True
OpenBMI,P6_LATE_CAP20,LATE,0.2,1,TRUE_GUARD,15,0.4,7.969240347544352e-05,-0.00012353559335072836,True
OpenBMI,P6_LATE_CAP20,LATE,0.2,2,TRUE_GUARD,15,0.6666666666666666,0.00016493697961171468,0.00012028912703196207,True
OpenBMI,P6_LATE_CAP20,LATE,0.2,3,TRUE_GUARD,20,0.45,3.8929283618927e-05,-6.00278377532959e-05,True
OpenBMI,P6_LATE_CAP20,LATE,0.2,4,TRUE_GUARD,15,0.5333333333333333,0.00012561480204264323,2.0093719164530437e-05,True
OpenBMI,P6_LATE_CAP20,LATE,0.2,5,TRUE_GUARD,20,0.6,0.00011551752686500549,5.956590175628662e-05,True
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,1,TRUE_GUARD,15,0.4,8.243421713511149e-05,-0.00012098153432210287,True
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,2,TRUE_GUARD,15,0.6,0.0001698821783065796,0.00012685656547546388,True
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,3,TRUE_GUARD,20,0.5,4.596784710884094e-05,-5.252435803413391e-05,True
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,4,TRUE_GUARD,15,0.5333333333333333,0.00012441674868265788,1.825690269470215e-05,True
OpenBMI,TASK_ONLY_MATCHED,ALL,0.0,5,TRUE_GUARD,20,0.6,0.00011530518531799316,5.995184183120728e-05,True
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,1,TRUE_GUARD,25,0.4,2.439260482788086e-05,-3.280103206634521e-05,True
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,2,TRUE_GUARD,25,0.32,1.913905143737793e-05,-5.55497407913208e-05,True
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,3,TRUE_GUARD,25,0.6,5.150914192199707e-05,1.6345381736755372e-05,True
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,4,TRUE_GUARD,25,0.36,2.4201273918151854e-05,-3.5950541496276854e-05,True
WBCIC,CAP_ZERO_IDENTITY,ALL,0.0,5,TRUE_GUARD,29,0.5172413793103449,2.9649713943744527e-05,-9.597889308271737e-06,True
WBCIC,ERM2_REFERENCE,ALL,0.0,1,TRUE_GUARD,25,0.48,3.153979778289795e-05,-2.675652503967285e-05,True
WBCIC,ERM2_REFERENCE,ALL,0.0,2,TRUE_GUARD,25,0.32,1.5065670013427734e-05,-7.587552070617676e-05,True
WBCIC,ERM2_REFERENCE,ALL,0.0,3,TRUE_GUARD,25,0.44,3.524303436279297e-05,-9.03308391571045e-06,True
WBCIC,ERM2_REFERENCE,ALL,0.0,4,TRUE_GUARD,25,0.4,2.0323395729064943e-05,-3.236889839172363e-05,True
WBCIC,ERM2_REFERENCE,ALL,0.0,5,TRUE_GUARD,29,0.41379310344827586,3.6539702579892915e-05,-2.011245694653741e-05,True
WBCIC,P1_ALL_CAP05,ALL,0.05,1,TRUE_GUARD,25,0.4,2.401471138000488e-05,-3.286600112915039e-05,True
WBCIC,P1_ALL_CAP05,ALL,0.05,2,TRUE_GUARD,25,0.32,1.821756362915039e-05,-6.000339984893799e-05,True
WBCIC,P1_ALL_CAP05,ALL,0.05,3,TRUE_GUARD,25,0.6,4.9668550491333005e-05,1.3672709465026855e-05,True
WBCIC,P1_ALL_CAP05,ALL,0.05,4,TRUE_GUARD,25,0.36,2.4145841598510744e-05,-3.490567207336426e-05,True
WBCIC,P1_ALL_CAP05,ALL,0.05,5,TRUE_GUARD,29,0.4827586206896552,2.7367780948507373e-05,-1.1192827389158052e-05,True
WBCIC,P2_ALL_CAP10,ALL,0.1,1,TRUE_GUARD,25,0.4,2.3970603942871095e-05,-3.165364265441894e-05,True
WBCIC,P2_ALL_CAP10,ALL,0.1,2,TRUE_GUARD,25,0.32,1.8160343170166016e-05,-6.0504674911499025e-05,True
WBCIC,P2_ALL_CAP10,ALL,0.1,3,TRUE_GUARD,25,0.6,4.9674510955810546e-05,1.3623833656311035e-05,True
WBCIC,P2_ALL_CAP10,ALL,0.1,4,TRUE_GUARD,25,0.36,2.4168491363525392e-05,-3.459513187408447e-05,True
WBCIC,P2_ALL_CAP10,ALL,0.1,5,TRUE_GUARD,29,0.4827586206896552,2.693153660872887e-05,-1.1113697084887274e-05,True
WBCIC,P3_ALL_CAP20,ALL,0.2,1,TRUE_GUARD,25,0.4,2.3959875106811525e-05,-3.0432939529418944e-05,True
WBCIC,P3_ALL_CAP20,ALL,0.2,2,TRUE_GUARD,25,0.32,1.816391944885254e-05,-6.05320930480957e-05,True
WBCIC,P3_ALL_CAP20,ALL,0.2,3,TRUE_GUARD,25,0.6,4.971325397491455e-05,1.3650059700012206e-05,True
WBCIC,P3_ALL_CAP20,ALL,0.2,4,TRUE_GUARD,25,0.36,2.4138689041137696e-05,-3.453075885772705e-05,True
WBCIC,P3_ALL_CAP20,ALL,0.2,5,TRUE_GUARD,29,0.4827586206896552,2.6894540622316557e-05,-1.1128084412936506e-05,True
WBCIC,P4_LATE_CAP05,LATE,0.05,1,TRUE_GUARD,25,0.4,2.3977160453796386e-05,-3.325939178466797e-05,True
WBCIC,P4_LATE_CAP05,LATE,0.05,2,TRUE_GUARD,25,0.32,1.8358230590820312e-05,-5.663156509399414e-05,True
WBCIC,P4_LATE_CAP05,LATE,0.05,3,TRUE_GUARD,25,0.56,5.0328969955444336e-05,1.5370845794677734e-05,True
WBCIC,P4_LATE_CAP05,LATE,0.05,4,TRUE_GUARD,25,0.36,2.3909807205200194e-05,-3.5636425018310547e-05,True
WBCIC,P4_LATE_CAP05,LATE,0.05,5,TRUE_GUARD,29,0.5172413793103449,2.9252520922956796e-05,-9.577849815631734e-06,True
WBCIC,P5_LATE_CAP10,LATE,0.1,1,TRUE_GUARD,25,0.4,2.393662929534912e-05,-3.322780132293701e-05,True
WBCIC,P5_LATE_CAP10,LATE,0.1,2,TRUE_GUARD,25,0.32,1.8129348754882814e-05,-5.730509757995605e-05,True
WBCIC,P5_LATE_CAP10,LATE,0.1,3,TRUE_GUARD,25,0.56,4.976034164428711e-05,1.4523863792419433e-05,True
WBCIC,P5_LATE_CAP10,LATE,0.1,4,TRUE_GUARD,25,0.36,2.3652315139770507e-05,-3.504633903503418e-05,True
WBCIC,P5_LATE_CAP10,LATE,0.1,5,TRUE_GUARD,29,0.5172413793103449,2.8725841949725972e-05,-9.712474099520979e-06,True
WBCIC,P6_LATE_CAP20,LATE,0.2,1,TRUE_GUARD,25,0.4,2.3911595344543458e-05,-3.3477544784545897e-05,True
WBCIC,P6_LATE_CAP20,LATE,0.2,2,TRUE_GUARD,25,0.32,1.7925500869750977e-05,-5.779027938842773e-05,True
WBCIC,P6_LATE_CAP20,LATE,0.2,3,TRUE_GUARD,25,0.56,4.8841238021850583e-05,1.3266205787658691e-05,True
WBCIC,P6_LATE_CAP20,LATE,0.2,4,TRUE_GUARD,25,0.32,2.32696533203125e-05,-3.4952759742736815e-05,True
WBCIC,P6_LATE_CAP20,LATE,0.2,5,TRUE_GUARD,29,0.5172413793103449,2.7557899212015087e-05,-1.0220655079545646e-05,True
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,1,TRUE_GUARD,25,0.4,2.439260482788086e-05,-3.280103206634521e-05,True
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,2,TRUE_GUARD,25,0.32,1.913905143737793e-05,-5.55497407913208e-05,True
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,3,TRUE_GUARD,25,0.6,5.150914192199707e-05,1.6345381736755372e-05,True
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,4,TRUE_GUARD,25,0.36,2.4201273918151854e-05,-3.5950541496276854e-05,True
WBCIC,TASK_ONLY_MATCHED,ALL,0.0,5,TRUE_GUARD,29,0.5172413793103449,2.9649713943744527e-05,-9.597889308271737e-06,True
