model,task,fold,seed,checkpoint_path,checkpoint_sha256,normalizer_path,normalizer_sha256,normalizer_artifact_kind,train_subjects,checkpoint_selection_subjects,heldout_subjects,source_sessions,future_session,representation_layer,representation_dimension,checkpoint_source_experiment,selected_epoch,status,errors
EEGNet,OpenBMI_ERP,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed1\selected.pt,884766dcf9a4707f42dc6099292eca03fffd03765d345cf5a65ce7a17bd75a19,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,20,PASS,
EEGNet,OpenBMI_ERP,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed2\selected.pt,f7f79dbde466a4471597194d03ef86d1b72b757d50a119331c82d8b7f78f9668,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,25,PASS,
EEGNet,OpenBMI_ERP,2,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed0\selected.pt,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,54,PASS,
EEGNet,OpenBMI_ERP,2,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed1\selected.pt,4feef6c7357b0e9b9b8824283130ffa4bc6ebf55e443a4bbd2c4cfb0f72749de,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,56,PASS,
EEGNet,OpenBMI_ERP,2,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed2\selected.pt,9b8f3d8682a1c1e4cf3dfb15e089ffd59f0fafb779dbfae4c0f2bb1ef02166a3,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,59,PASS,
EEGNet,OpenBMI_ERP,3,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed0\selected.pt,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,32,PASS,
EEGNet,OpenBMI_ERP,3,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed1\selected.pt,30411e244c6e72aec3d07119d58e636d0029354ce3b731ff077181025f867290,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,31,PASS,
EEGNet,OpenBMI_ERP,3,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed2\selected.pt,1789ace9978a7fd26377de2e8a2d974a65668fcf9dc11bf3841303eedcbd9382,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,53,PASS,
EEGNet,OpenBMI_ERP,4,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed0\selected.pt,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,46,PASS,
EEGNet,OpenBMI_ERP,4,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed1\selected.pt,5a030e81492989d1934e9d240d4598781ae5ad1242c456125d144eb85c435449,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,55,PASS,
EEGNet,OpenBMI_ERP,4,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed2\selected.pt,939aca40553ef64d1ee78e3514b1498f9f70f6a8b3c34c403a8b8b693e7621d0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,52,PASS,
EEGNet,OpenBMI_SSVEP,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed0\selected.pt,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,52,PASS,
EEGNet,OpenBMI_SSVEP,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed1\selected.pt,e9b66f9aecb279aaab99ab675f9af6b6f8b40e51b4b5b0bdb00ca03decee1b41,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,52,PASS,
