dataset,outer_fold,opt_seed,method,phase,epoch,meta_train_subjects,pseudo_unseen_subjects,partition_disjoint,partition_seed
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,12,4;7;8;12;25;27;34;35;43;46;52,9;11;15;16;29;37;38;39;44;49;51,True,3572568099221027469
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,13,4;7;16;25;29;35;38;39;43;44;46,8;9;11;12;15;27;34;37;49;51;52,True,1992206709749811299
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,14,8;15;16;25;27;29;35;39;46;49;52,4;7;9;11;12;34;37;38;43;44;51,True,3775005798541585730
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,15,4;7;11;12;15;16;27;37;46;49;52,8;9;25;29;34;35;38;39;43;44;51,True,5062340066625590398
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,16,4;7;8;12;15;16;25;27;35;49;52,9;11;29;34;37;38;39;43;44;46;51,True,6114378854132024857
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,17,4;7;8;12;16;25;27;29;35;37;43,9;11;15;34;38;39;44;46;49;51;52,True,3416266715215732579
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,18,4;11;12;27;29;34;35;38;43;44;52,7;8;9;15;16;25;37;39;46;49;51,True,2424503694838009228
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,19,4;7;11;12;16;25;34;38;39;49;52,8;9;15;27;29;35;37;43;44;46;51,True,6265385745368533877
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,20,7;8;9;11;16;27;34;44;46;49;52,4;12;15;25;29;35;37;38;39;43;51,True,2908371291833264890
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,21,4;11;15;25;29;34;43;44;49;51;52,7;8;9;12;16;27;35;37;38;39;46,True,7199422054344751059
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,22,7;11;12;16;29;35;38;43;46;49;51,4;8;9;15;25;27;34;37;39;44;52,True,2208362273017850072
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,23,4;8;11;16;25;27;29;38;39;46;51,7;9;12;15;34;35;37;43;44;49;52,True,5206877682315595245
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,24,7;9;11;25;27;29;34;35;43;44;52,4;8;12;15;16;37;38;39;46;49;51,True,7901675545366587055
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,25,9;12;16;27;37;39;43;44;49;51;52,4;7;8;11;15;25;29;34;35;38;46,True,7549279178572016714
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,26,9;11;12;15;34;37;38;43;46;51;52,4;7;8;16;25;27;29;35;39;44;49,True,5266787572376752565
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,27,4;9;12;15;27;34;37;43;46;49;52,7;8;11;16;25;29;35;38;39;44;51,True,1552069631049092662
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,28,4;11;12;15;25;34;35;39;44;49;51,7;8;9;16;27;29;37;38;43;46;52,True,4159704651120040338
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,29,4;7;8;9;16;27;34;35;37;46;49,11;12;15;25;29;38;39;43;44;51;52,True,2783344575487755761
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,30,4;8;9;12;27;29;34;35;43;44;49,7;11;15;16;25;37;38;39;46;51;52,True,3215876284328397464
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,31,7;9;11;15;34;35;37;39;44;49;52,4;8;12;16;25;27;29;38;43;46;51,True,530936983680431765
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,32,4;9;11;12;15;27;29;38;39;43;49,7;8;16;25;34;35;37;44;46;51;52,True,722397158536059790
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,33,4;9;12;25;29;34;35;37;39;46;52,7;8;11;15;16;27;38;43;44;49;51,True,8258900755089550907
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,34,7;11;25;27;29;34;35;38;43;46;51,4;8;9;12;15;16;37;39;44;49;52,True,1032493271343309355
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,35,4;9;11;12;29;39;43;46;49;51;52,7;8;15;16;25;27;34;35;37;38;44,True,5896962881094739278
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,36,8;9;11;12;27;29;35;37;43;44;51,4;7;15;16;25;34;38;39;46;49;52,True,8454872879434210053
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,37,7;25;29;34;37;38;43;44;46;49;52,4;8;9;11;12;15;16;27;35;39;51,True,2915899166194542181
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,38,7;8;9;11;15;29;34;35;37;43;52,4;12;16;25;27;38;39;44;46;49;51,True,7347976680720118971
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,39,4;9;16;25;27;29;35;37;38;39;49,7;8;11;12;15;34;43;44;46;51;52,True,5966630251410057551
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,40,4;9;12;16;25;29;35;37;39;44;49,7;8;11;15;27;34;38;43;46;51;52,True,7377573833846227740
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,41,7;9;12;25;27;29;34;37;46;51;52,4;8;11;15;16;35;38;39;43;44;49,True,3032178983304112388
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,42,4;7;8;12;15;16;35;39;43;44;52,9;11;25;27;29;34;37;38;46;49;51,True,1295640005736098211
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,43,4;9;11;15;16;29;35;37;46;49;52,7;8;12;25;27;34;38;39;43;44;51,True,221858766887464359
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,44,4;8;12;15;25;27;34;38;43;44;51,7;9;11;16;29;35;37;39;46;49;52,True,1390391249714245768
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,45,4;7;8;9;15;34;38;39;44;46;52,11;12;16;25;27;29;35;37;43;49;51,True,1323521433237904785
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,46,4;7;11;15;35;37;38;44;46;49;51,8;9;12;16;25;27;29;34;39;43;52,True,7024176547452114003
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,47,9;11;12;15;16;25;29;39;43;44;46,4;7;8;27;34;35;37;38;49;51;52,True,4564097042313127101
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,48,4;8;11;12;15;16;34;35;43;46;52,7;9;25;27;29;37;38;39;44;49;51,True,5702923429905163576
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,49,8;9;11;15;25;34;38;44;46;49;52,4;7;12;16;27;29;35;37;39;43;51,True,3060882242738036670
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,50,4;7;8;12;16;34;35;37;39;44;49,9;11;15;25;27;29;38;43;46;51;52,True,1608238303998831326
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,51,4;7;8;15;16;29;35;37;46;49;52,9;11;12;25;27;34;38;39;43;44;51,True,65979091604401622
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,52,4;8;9;11;12;25;35;37;44;46;52,7;15;16;27;29;34;38;39;43;49;51,True,2812974691759388707
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,53,4;16;27;29;35;37;39;44;46;49;52,7;8;9;11;12;15;25;34;38;43;51,True,8407549707570335795
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,54,9;11;15;16;25;35;38;43;44;46;52,4;7;8;12;27;29;34;37;39;49;51,True,5508523155838923967
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,55,4;7;8;15;16;35;38;39;44;49;52,9;11;12;25;27;29;34;37;43;46;51,True,3841435763778146282
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,56,4;8;9;29;34;35;37;38;46;49;52,7;11;12;15;16;25;27;39;43;44;51,True,7022230019737220581
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,57,4;8;12;15;25;27;34;38;39;51;52,7;9;11;16;29;35;37;43;44;46;49,True,6111204505012589257
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,58,11;12;16;25;29;34;35;38;46;51;52,4;7;8;9;15;27;37;39;43;44;49,True,4599794028589928281
OpenBMI,0,0,B3_TSEG,selection,1,7;9;12;15;16;25;34;37;44;46;51,4;8;11;27;29;35;38;39;43;49;52,True,3552084785656430714
OpenBMI,0,0,B3_TSEG,selection,2,7;9;12;15;16;25;27;34;43;44;49,4;8;11;29;35;37;38;39;46;51;52,True,4980215817855256910
OpenBMI,0,0,B3_TSEG,selection,3,7;15;16;27;29;34;37;38;44;51;52,4;8;9;11;12;25;35;39;43;46;49,True,7729479304929281243
OpenBMI,0,0,B3_TSEG,selection,4,4;7;9;11;12;15;25;29;43;44;46,8;16;27;34;35;37;38;39;49;51;52,True,4021820299594906514
OpenBMI,0,0,B3_TSEG,selection,5,8;9;27;29;34;37;38;39;46;49;52,4;7;11;12;15;16;25;35;43;44;51,True,7578466172132878251
OpenBMI,0,0,B3_TSEG,selection,6,15;16;25;27;35;38;39;43;44;46;52,4;7;8;9;11;12;29;34;37;49;51,True,231722113823725211
OpenBMI,0,0,B3_TSEG,selection,7,7;8;9;11;12;15;29;43;46;49;52,4;16;25;27;34;35;37;38;39;44;51,True,907536409377996148
OpenBMI,0,0,B3_TSEG,selection,8,4;7;8;9;16;25;27;39;43;46;49,11;12;15;29;34;35;37;38;44;51;52,True,8627582085144448820
OpenBMI,0,0,B3_TSEG,selection,9,8;11;15;16;25;34;35;38;39;49;51,4;7;9;12;27;29;37;43;44;46;52,True,3397038173021049770
OpenBMI,0,0,B3_TSEG,selection,10,4;8;9;11;12;15;27;29;37;46;49,7;16;25;34;35;38;39;43;44;51;52,True,4179790880198177365
OpenBMI,0,0,B3_TSEG,selection,11,7;9;11;12;16;27;34;37;43;49;51,4;8;15;25;29;35;38;39;44;46;52,True,4208215299985794851
OpenBMI,0,0,B3_TSEG,selection,12,4;7;8;12;25;27;34;35;43;46;52,9;11;15;16;29;37;38;39;44;49;51,True,3572568099221027469
OpenBMI,0,0,B3_TSEG,selection,13,4;7;16;25;29;35;38;39;43;44;46,8;9;11;12;15;27;34;37;49;51;52,True,1992206709749811299
OpenBMI,0,0,B3_TSEG,selection,14,8;15;16;25;27;29;35;39;46;49;52,4;7;9;11;12;34;37;38;43;44;51,True,3775005798541585730
OpenBMI,0,0,B3_TSEG,selection,15,4;7;11;12;15;16;27;37;46;49;52,8;9;25;29;34;35;38;39;43;44;51,True,5062340066625590398
OpenBMI,0,0,B3_TSEG,selection,16,4;7;8;12;15;16;25;27;35;49;52,9;11;29;34;37;38;39;43;44;46;51,True,6114378854132024857
OpenBMI,0,0,B3_TSEG,selection,17,4;7;8;12;16;25;27;29;35;37;43,9;11;15;34;38;39;44;46;49;51;52,True,3416266715215732579
OpenBMI,0,0,B3_TSEG,selection,18,4;11;12;27;29;34;35;38;43;44;52,7;8;9;15;16;25;37;39;46;49;51,True,2424503694838009228
OpenBMI,0,0,B3_TSEG,selection,19,4;7;11;12;16;25;34;38;39;49;52,8;9;15;27;29;35;37;43;44;46;51,True,6265385745368533877
OpenBMI,0,0,B3_TSEG,selection,20,7;8;9;11;16;27;34;44;46;49;52,4;12;15;25;29;35;37;38;39;43;51,True,2908371291833264890
OpenBMI,0,0,B3_TSEG,selection,21,4;11;15;25;29;34;43;44;49;51;52,7;8;9;12;16;27;35;37;38;39;46,True,7199422054344751059
OpenBMI,0,0,B3_TSEG,selection,22,7;11;12;16;29;35;38;43;46;49;51,4;8;9;15;25;27;34;37;39;44;52,True,2208362273017850072
OpenBMI,0,0,B3_TSEG,selection,23,4;8;11;16;25;27;29;38;39;46;51,7;9;12;15;34;35;37;43;44;49;52,True,5206877682315595245
OpenBMI,0,0,B3_TSEG,selection,24,7;9;11;25;27;29;34;35;43;44;52,4;8;12;15;16;37;38;39;46;49;51,True,7901675545366587055
OpenBMI,0,0,B3_TSEG,selection,25,9;12;16;27;37;39;43;44;49;51;52,4;7;8;11;15;25;29;34;35;38;46,True,7549279178572016714
OpenBMI,0,0,B3_TSEG,selection,26,9;11;12;15;34;37;38;43;46;51;52,4;7;8;16;25;27;29;35;39;44;49,True,5266787572376752565
OpenBMI,0,0,B3_TSEG,selection,27,4;9;12;15;27;34;37;43;46;49;52,7;8;11;16;25;29;35;38;39;44;51,True,1552069631049092662
OpenBMI,0,0,B3_TSEG,selection,28,4;11;12;15;25;34;35;39;44;49;51,7;8;9;16;27;29;37;38;43;46;52,True,4159704651120040338
OpenBMI,0,0,B3_TSEG,selection,29,4;7;8;9;16;27;34;35;37;46;49,11;12;15;25;29;38;39;43;44;51;52,True,2783344575487755761
OpenBMI,0,0,B3_TSEG,selection,30,4;8;9;12;27;29;34;35;43;44;49,7;11;15;16;25;37;38;39;46;51;52,True,3215876284328397464
OpenBMI,0,0,B3_TSEG,selection,31,7;9;11;15;34;35;37;39;44;49;52,4;8;12;16;25;27;29;38;43;46;51,True,530936983680431765
OpenBMI,0,0,B3_TSEG,selection,32,4;9;11;12;15;27;29;38;39;43;49,7;8;16;25;34;35;37;44;46;51;52,True,722397158536059790
OpenBMI,0,0,B3_TSEG,selection,33,4;9;12;25;29;34;35;37;39;46;52,7;8;11;15;16;27;38;43;44;49;51,True,8258900755089550907
OpenBMI,0,0,B3_TSEG,selection,34,7;11;25;27;29;34;35;38;43;46;51,4;8;9;12;15;16;37;39;44;49;52,True,1032493271343309355
OpenBMI,0,0,B3_TSEG,selection,35,4;9;11;12;29;39;43;46;49;51;52,7;8;15;16;25;27;34;35;37;38;44,True,5896962881094739278
OpenBMI,0,0,B3_TSEG,selection,36,8;9;11;12;27;29;35;37;43;44;51,4;7;15;16;25;34;38;39;46;49;52,True,8454872879434210053
OpenBMI,0,0,B3_TSEG,selection,37,7;25;29;34;37;38;43;44;46;49;52,4;8;9;11;12;15;16;27;35;39;51,True,2915899166194542181
OpenBMI,0,0,B3_TSEG,selection,38,7;8;9;11;15;29;34;35;37;43;52,4;12;16;25;27;38;39;44;46;49;51,True,7347976680720118971
OpenBMI,0,0,B3_TSEG,selection,39,4;9;16;25;27;29;35;37;38;39;49,7;8;11;12;15;34;43;44;46;51;52,True,5966630251410057551
OpenBMI,0,0,B3_TSEG,selection,40,4;9;12;16;25;29;35;37;39;44;49,7;8;11;15;27;34;38;43;46;51;52,True,7377573833846227740
OpenBMI,0,0,B3_TSEG,selection,41,7;9;12;25;27;29;34;37;46;51;52,4;8;11;15;16;35;38;39;43;44;49,True,3032178983304112388
OpenBMI,0,0,B3_TSEG,selection,42,4;7;8;12;15;16;35;39;43;44;52,9;11;25;27;29;34;37;38;46;49;51,True,1295640005736098211
OpenBMI,0,0,B3_TSEG,selection,43,4;9;11;15;16;29;35;37;46;49;52,7;8;12;25;27;34;38;39;43;44;51,True,221858766887464359
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,1,4;11;12;15;16;29;35;37;39;49;51,7;8;9;25;27;34;38;43;44;46;52,True,2465575882330966259
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,2,4;7;8;12;35;38;43;44;49;51;52,9;11;15;16;25;27;29;34;37;39;46,True,1524749052038985633
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,3,8;9;12;25;29;35;37;38;46;51;52,4;7;11;15;16;27;34;39;43;44;49,True,3442069813665582918
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,4,9;12;16;25;27;29;35;38;44;46;52,4;7;8;11;15;34;37;39;43;49;51,True,7980050741852440277
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,5,4;7;9;11;16;25;27;35;39;44;46,8;12;15;29;34;37;38;43;49;51;52,True,948009411864979014
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,6,7;8;9;16;27;37;38;44;46;49;52,4;11;12;15;25;29;34;35;39;43;51,True,6714289712113879380
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,7,4;8;9;11;12;15;38;43;46;49;52,7;16;25;27;29;34;35;37;39;44;51,True,5962695812498242438
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,8,4;15;16;27;29;34;37;38;39;49;52,7;8;9;11;12;25;35;43;44;46;51,True,7553726216462309853
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,9,4;7;8;9;12;15;34;38;44;51;52,11;16;25;27;29;35;37;39;43;46;49,True,8388351383988365645
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,10,7;11;12;15;27;38;39;43;49;51;52,4;8;9;16;25;29;34;35;37;44;46,True,2089959185875063435
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,11,4;7;11;12;15;27;37;43;44;51;52,8;9;16;25;29;34;35;38;39;46;49,True,7175370756552993433
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,12,4;8;9;11;15;25;37;43;49;51;52,7;12;16;27;29;34;35;38;39;44;46,True,1335708111468931742
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,13,11;12;15;16;27;35;37;43;44;46;49,4;7;8;9;25;29;34;38;39;51;52,True,6289196431968802248
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,14,7;8;9;12;15;27;29;34;39;46;49,4;11;16;25;35;37;38;43;44;51;52,True,616225655657242157
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,15,7;12;25;27;34;39;43;44;46;49;52,4;8;9;11;15;16;29;35;37;38;51,True,8604600535754174163
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,16,7;12;16;27;29;35;37;38;39;46;51,4;8;9;11;15;25;34;43;44;49;52,True,5152798430460009818
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,17,4;12;25;27;29;34;35;37;39;43;46,7;8;9;11;15;16;38;44;49;51;52,True,4218346511922262229
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,18,4;7;8;11;12;15;25;39;46;49;52,9;16;27;29;34;35;37;38;43;44;51,True,973963431975920953
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,19,7;8;9;25;29;35;39;46;49;51;52,4;11;12;15;16;27;34;37;38;43;44,True,7524165874900109539
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,20,4;15;16;25;27;34;35;37;44;49;51,7;8;9;11;12;29;38;39;43;46;52,True,5087933993997421674
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,21,8;11;12;27;29;35;39;43;44;46;52,4;7;9;15;16;25;34;37;38;49;51,True,2673857539697061660
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,22,7;9;12;15;16;25;27;35;39;49;52,4;8;11;29;34;37;38;43;44;46;51,True,622328854791464537
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,23,8;9;25;27;34;35;43;44;46;49;51,4;7;11;12;15;16;29;37;38;39;52,True,8064494607347890285
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,24,7;9;11;12;16;34;35;39;44;49;52,4;8;15;25;27;29;37;38;43;46;51,True,254067052760131175
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,25,4;9;15;25;27;29;34;37;49;51;52,7;8;11;12;16;35;38;39;43;44;46,True,3546777411789898471
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,26,8;9;11;12;15;16;37;44;49;51;52,4;7;25;27;29;34;35;38;39;43;46,True,2375105590617034816
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,27,7;9;11;12;16;29;34;35;44;51;52,4;8;15;25;27;37;38;39;43;46;49,True,2616689382254843918
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,28,4;7;11;16;25;27;37;38;39;43;46,8;9;12;15;29;34;35;44;49;51;52,True,2269040940051034155
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,29,7;15;25;29;34;35;39;43;46;51;52,4;8;9;11;12;16;27;37;38;44;49,True,9208619234015910969
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,30,4;8;15;16;34;35;38;44;46;51;52,7;9;11;12;25;27;29;37;39;43;49,True,8906227486521936571
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,31,8;9;12;15;16;34;35;37;38;51;52,4;7;11;25;27;29;39;43;44;46;49,True,8647811451858644588
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,32,4;7;11;15;16;25;27;29;34;35;49,8;9;12;37;38;39;43;44;46;51;52,True,2581581984529180219
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,33,4;7;9;12;15;16;25;35;38;39;51,8;11;27;29;34;37;43;44;46;49;52,True,6447823954934714559
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,34,4;9;11;12;25;39;43;44;46;49;51,7;8;15;16;27;29;34;35;37;38;52,True,3582255578736783876
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,35,8;11;12;15;16;25;27;39;44;46;49,4;7;9;29;34;35;37;38;43;51;52,True,6724046576093123447
OpenBMI,0,1,B3_TSEG,selection,1,4;11;12;15;16;29;35;37;39;49;51,7;8;9;25;27;34;38;43;44;46;52,True,2465575882330966259
OpenBMI,0,1,B3_TSEG,selection,2,4;7;8;12;35;38;43;44;49;51;52,9;11;15;16;25;27;29;34;37;39;46,True,1524749052038985633
OpenBMI,0,1,B3_TSEG,selection,3,8;9;12;25;29;35;37;38;46;51;52,4;7;11;15;16;27;34;39;43;44;49,True,3442069813665582918
OpenBMI,0,1,B3_TSEG,selection,4,9;12;16;25;27;29;35;38;44;46;52,4;7;8;11;15;34;37;39;43;49;51,True,7980050741852440277
OpenBMI,0,1,B3_TSEG,selection,5,4;7;9;11;16;25;27;35;39;44;46,8;12;15;29;34;37;38;43;49;51;52,True,948009411864979014
OpenBMI,0,1,B3_TSEG,selection,6,7;8;9;16;27;37;38;44;46;49;52,4;11;12;15;25;29;34;35;39;43;51,True,6714289712113879380
OpenBMI,0,1,B3_TSEG,selection,7,4;8;9;11;12;15;38;43;46;49;52,7;16;25;27;29;34;35;37;39;44;51,True,5962695812498242438
OpenBMI,0,1,B3_TSEG,selection,8,4;15;16;27;29;34;37;38;39;49;52,7;8;9;11;12;25;35;43;44;46;51,True,7553726216462309853
OpenBMI,0,1,B3_TSEG,selection,9,4;7;8;9;12;15;34;38;44;51;52,11;16;25;27;29;35;37;39;43;46;49,True,8388351383988365645
OpenBMI,0,1,B3_TSEG,selection,10,7;11;12;15;27;38;39;43;49;51;52,4;8;9;16;25;29;34;35;37;44;46,True,2089959185875063435
OpenBMI,0,1,B3_TSEG,selection,11,4;7;11;12;15;27;37;43;44;51;52,8;9;16;25;29;34;35;38;39;46;49,True,7175370756552993433
OpenBMI,0,1,B3_TSEG,selection,12,4;8;9;11;15;25;37;43;49;51;52,7;12;16;27;29;34;35;38;39;44;46,True,1335708111468931742
OpenBMI,0,1,B3_TSEG,selection,13,11;12;15;16;27;35;37;43;44;46;49,4;7;8;9;25;29;34;38;39;51;52,True,6289196431968802248
OpenBMI,0,1,B3_TSEG,selection,14,7;8;9;12;15;27;29;34;39;46;49,4;11;16;25;35;37;38;43;44;51;52,True,616225655657242157
OpenBMI,0,1,B3_TSEG,selection,15,7;12;25;27;34;39;43;44;46;49;52,4;8;9;11;15;16;29;35;37;38;51,True,8604600535754174163
OpenBMI,0,1,B3_TSEG,selection,16,7;12;16;27;29;35;37;38;39;46;51,4;8;9;11;15;25;34;43;44;49;52,True,5152798430460009818
OpenBMI,0,1,B3_TSEG,selection,17,4;12;25;27;29;34;35;37;39;43;46,7;8;9;11;15;16;38;44;49;51;52,True,4218346511922262229
OpenBMI,0,1,B3_TSEG,selection,18,4;7;8;11;12;15;25;39;46;49;52,9;16;27;29;34;35;37;38;43;44;51,True,973963431975920953
OpenBMI,0,1,B3_TSEG,selection,19,7;8;9;25;29;35;39;46;49;51;52,4;11;12;15;16;27;34;37;38;43;44,True,7524165874900109539
OpenBMI,0,1,B3_TSEG,selection,20,4;15;16;25;27;34;35;37;44;49;51,7;8;9;11;12;29;38;39;43;46;52,True,5087933993997421674
OpenBMI,0,1,B3_TSEG,selection,21,8;11;12;27;29;35;39;43;44;46;52,4;7;9;15;16;25;34;37;38;49;51,True,2673857539697061660
OpenBMI,0,1,B3_TSEG,selection,22,7;9;12;15;16;25;27;35;39;49;52,4;8;11;29;34;37;38;43;44;46;51,True,622328854791464537
OpenBMI,0,1,B3_TSEG,selection,23,8;9;25;27;34;35;43;44;46;49;51,4;7;11;12;15;16;29;37;38;39;52,True,8064494607347890285
OpenBMI,0,1,B3_TSEG,selection,24,7;9;11;12;16;34;35;39;44;49;52,4;8;15;25;27;29;37;38;43;46;51,True,254067052760131175
OpenBMI,0,1,B3_TSEG,selection,25,4;9;15;25;27;29;34;37;49;51;52,7;8;11;12;16;35;38;39;43;44;46,True,3546777411789898471
OpenBMI,0,1,B3_TSEG,selection,26,8;9;11;12;15;16;37;44;49;51;52,4;7;25;27;29;34;35;38;39;43;46,True,2375105590617034816
