Family,branch,commit,experiment_path,hypothesis,protocol,dataset,task,backbone,seeds_folds,outer_heldout_usage,main_metric,terminal_decision,integrity_status,later_superseded,superseded_by,leakage_or_confound,usable_in_paper,evidence_role,tracked_in_current_base
K transport / GeoSR / prototype / relation,codex/persist-eeg-geosr-final-v1; codex/persist-eeg-incremental-relation-pilot-v3,485b76dc138ba0cf6028110c31cc8573d5140b0d; 927bdbe7482fd4ebd9b71c0986b967c94a83a690; 9e78dc801762e08422d70bb15d504511f5ccde11,experiments/persist_eeg_persistence_geometry_transfer_risk_audit_v1; experiments/persist_eeg_geosr_final_v1; experiments/persist_eeg_incremental_relation_pilot_v3,fold-limited transport pilots,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,NO_STABLE_GENERAL_ACTIONABILITY_SIGNAL,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,EXPLORATORY_ONLY,True
L PDA / U-PDA / TEA / routing / selectors,codex/persist-eeg-prospective-action-policy-v2-1; codex/persist-eeg-utility-certified-pda-final,a63a83c6a95bc7b4f1b1c7bf933977e06e906d6d; b0a8c184619b697fd1b3342c5acdfa033a5df85d; f8ce6fd425767cffaf33a1f5ed2581724a349320,experiments/persist_eeg_prospective_action_policy_v2_1; experiments/persist_eeg_utility_certified_pda_final; experiments/persist_eeg_router,selectors did not pass utility gates,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,UTILITY_OR_ROUTING_NOT_CERTIFIED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
M nested OOF / correction / utility gate,codex/persist-eeg-nested-oof-error-audit-v1; codex/persist-eeg-prospective-utility-gate-v1,1ff8ca4ae0f8020f8fd083707dc3769fe4bf3df2; 3654486141c91333e0507e95be98f4bdc41c0254,experiments/persist_eeg_nested_oof_error_audit_v1; experiments/persist_eeg_prospective_utility_gate_v1,historical OOF claims corrected,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,NO_CERTIFIED_PROSPECTIVE_UTILITY,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
N multi-backbone closure,codex/persist-eeg-multibackbone-final-closure,0eb295ff9c252edb053a50f7b3f80834d4158d92,experiments/persist_eeg_multibackbone_final_closure,no jointly surviving target; FBCNet competence-failed,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,FINAL_MULTIBACKBONE_FALSIFICATION_CLOSURE,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
O SCST / competence-generality,codex/persist-eeg-scst-competence-generality-v1; codex/persist-eeg-scst-utility-stage1,782d91bc9c883efc6a56f28c7a4e96c4dc491975; f692883a391fcb9df76bb02ecd76934fbaad61f3,experiments/persist_eeg_scst_competence_generality_v1; experiments/persist_eeg_scst_utility_stage1,source-only secondary negative,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,SCST_UTILITY_NOT_SUPPORTED_IN_NEAR_ADMISSIBLE_SPACE,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
P V4-V8 / headroom,codex/persist-eeg-final-model-v4..v8,22f7e8e94aa4c5ddd274bf4b9465579b6483d40a; 9feee89daa3fdcdae1602104a8b6ef5fc05afd64; b147226d2d82bb47948d1cca6c7b403c590eb8fa; c8413beff50912777f1f58180a99ffbdeff21637; d2f206c6552a19a83d1b64ce1f5b9e5b904dc3ae,experiments/persist_eeg_final_model_v4; experiments/persist_eeg_final_model_v5; experiments/persist_eeg_final_model_v6; experiments/persist_eeg_final_model_v7; experiments/persist_eeg_final_model_v8,realistic remaining headroom about 2 pp,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,V8_SCIENTIFIC_EXHAUSTION_PHASE_A_HEADROOM,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
Q GroupDRO / MLDG / Fishr / style extrapolation,codex/persist-eeg-route-b-foundation-screen-v1; codex/persist-eeg-mldg-robustness-confirm-v1,NOT_RECOVERABLE; e0bb9b51c02b94092397c40c79d0f4e3a08d77e0,experiments/persist_eeg_route_b_foundation_screen_v1; experiments/persist_eeg_mldg_robustness_confirm_v1,generic DG is not a PAG solution,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,GENERIC_SUBJECT_DG_NOT_CERTIFIED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
R MLDG robustness / per-seed early stopping,codex/persist-eeg-mldg-perseed-earlystop-check-v1,NOT_RECOVERABLE; bcfd13767d8e149254fb4e563444e5723d34ae53,experiments/persist_eeg_mldg_perseed_earlystop_check_v1; experiments/persist_eeg_mldg_robustness_confirm_v1,fixed-epoch interpretation superseded,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,MLDG_PER_SEED_EARLY_STOP_PARTIAL_ONLY,artifact audit required,yes,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
S TSEG / trajectory stability,codex/persist-eeg-tseg-session-fairness-v1,47d04136ba7770e87816c4dcb62b2642d65daf15,experiments/persist_eeg_tseg_session_fairness_v1,mechanism reduction without BA gain,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,TWO_TRAJECTORY_GAIN_EXPLAINED_OR_NOT_GENERAL,artifact audit required,yes,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
T additional PERSIST experiments,multiple historical refs,78f010644e86639d44a844558ab37bd865815082; de52f7d9c6e9fb8745869f58163ab95b42a668df,experiments/persist_eeg_exp3_decision_grounding_closure_v1; experiments/persist_eeg_dda_v1; experiments/persist_eeg_external_actionability_v1,decision/actionability prerequisites bounded,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,EMPIRICAL_CHAIN_INCOMPLETE,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
