model,task,fold,seed,status,active_rank,k,PU_rank,U_only_rank,P_only_rank,random_exact_rank,pass
CBraMod,WBCIC_MI,0,2,ESTIMABLE,6,4,4,4,4,True,True
CBraMod,WBCIC_MI,1,0,ESTIMABLE,8,4,4,4,4,True,True
CBraMod,WBCIC_MI,1,1,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,WBCIC_MI,1,2,PROTOCOL_INVALID_ACTIVE_RANK,,,,,,,True
CBraMod,WBCIC_MI,2,0,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,WBCIC_MI,2,1,ESTIMABLE,6,1,1,1,1,True,True
CBraMod,WBCIC_MI,2,2,EMPTY_PU,4,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,WBCIC_MI,3,0,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,WBCIC_MI,3,1,ESTIMABLE,7,4,4,4,4,True,True
CBraMod,WBCIC_MI,3,2,ESTIMABLE,6,4,4,4,4,True,True
CBraMod,WBCIC_MI,4,0,PROTOCOL_INVALID_ACTIVE_RANK,,,,,,,True
CBraMod,WBCIC_MI,4,1,PROTOCOL_INVALID_ACTIVE_RANK,,,,,,,True
CBraMod,WBCIC_MI,4,2,ESTIMABLE,5,1,1,1,1,True,True
TeCh,OpenBMI_MI,0,0,ESTIMABLE,18,4,4,4,4,True,True
TeCh,OpenBMI_MI,0,1,ESTIMABLE,17,4,4,4,4,True,True
TeCh,OpenBMI_MI,0,2,ESTIMABLE,19,4,4,4,4,True,True
TeCh,OpenBMI_MI,1,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_MI,1,1,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_MI,1,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_MI,2,0,ESTIMABLE,18,8,8,8,8,True,True
TeCh,OpenBMI_MI,2,1,EMPTY_PU,15,0,0,0,0,NOT_ESTIMABLE,True
TeCh,OpenBMI_MI,2,2,ESTIMABLE,17,4,4,4,4,True,True
TeCh,OpenBMI_MI,3,0,ESTIMABLE,18,4,4,4,4,True,True
TeCh,OpenBMI_MI,3,1,ESTIMABLE,17,4,4,4,4,True,True
TeCh,OpenBMI_MI,3,2,ESTIMABLE,17,4,4,4,4,True,True
TeCh,OpenBMI_MI,4,0,ESTIMABLE,17,4,4,4,4,True,True
TeCh,OpenBMI_MI,4,1,ESTIMABLE,15,4,4,4,4,True,True
TeCh,OpenBMI_MI,4,2,ESTIMABLE,15,4,4,4,4,True,True
TeCh,OpenBMI_ERP,0,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,0,1,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_ERP,0,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,1,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,1,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,1,2,ESTIMABLE,20,7,7,7,7,True,True
TeCh,OpenBMI_ERP,2,0,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_ERP,2,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,3,0,ESTIMABLE,20,7,7,7,7,True,True
TeCh,OpenBMI_ERP,3,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_ERP,4,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,4,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_ERP,4,2,ESTIMABLE,20,6,6,6,6,True,True
TeCh,OpenBMI_SSVEP,0,0,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_SSVEP,0,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,0,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,1,0,ESTIMABLE,20,12,12,12,12,True,True
TeCh,OpenBMI_SSVEP,1,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,1,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,2,0,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_SSVEP,2,1,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_SSVEP,2,2,ESTIMABLE,20,4,4,4,4,True,True
TeCh,OpenBMI_SSVEP,3,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,3,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,3,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,4,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,OpenBMI_SSVEP,4,2,ESTIMABLE,20,8,8,8,8,True,True
TeCh,WBCIC_MI,0,0,ESTIMABLE,7,4,4,4,4,True,True
TeCh,WBCIC_MI,0,1,ESTIMABLE,8,2,2,2,2,True,True
TeCh,WBCIC_MI,0,2,ESTIMABLE,9,4,4,4,4,True,True
TeCh,WBCIC_MI,1,0,ESTIMABLE,20,4,4,4,4,True,True
TeCh,WBCIC_MI,1,1,ESTIMABLE,20,8,8,8,8,True,True
TeCh,WBCIC_MI,1,2,ESTIMABLE,18,4,4,4,4,True,True
TeCh,WBCIC_MI,2,0,ESTIMABLE,20,8,8,8,8,True,True
TeCh,WBCIC_MI,2,1,ESTIMABLE,20,4,4,4,4,True,True
TeCh,WBCIC_MI,2,2,ESTIMABLE,17,8,8,8,8,True,True
TeCh,WBCIC_MI,3,0,ESTIMABLE,7,4,4,4,4,True,True
TeCh,WBCIC_MI,3,1,ESTIMABLE,10,3,3,3,3,True,True
TeCh,WBCIC_MI,3,2,ESTIMABLE,8,4,4,4,4,True,True
TeCh,WBCIC_MI,4,0,ESTIMABLE,20,4,4,4,4,True,True
TeCh,WBCIC_MI,4,1,ESTIMABLE,17,8,8,8,8,True,True
TeCh,WBCIC_MI,4,2,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_MI,0,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,0,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,0,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,1,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,1,1,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_MI,2,0,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,OpenBMI_MI,2,1,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,OpenBMI_MI,2,2,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,OpenBMI_MI,3,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,3,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,3,2,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,OpenBMI_MI,4,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_MI,4,1,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_MI,4,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,OpenBMI_ERP,0,0,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,OpenBMI_ERP,0,1,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,OpenBMI_ERP,0,2,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,OpenBMI_ERP,1,0,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_ERP,1,1,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_ERP,1,2,ESTIMABLE,20,7,7,7,7,True,True
ModernTCN,OpenBMI_ERP,2,0,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,OpenBMI_ERP,2,1,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_ERP,2,2,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_ERP,3,1,ESTIMABLE,20,5,5,5,5,True,True
ModernTCN,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_ERP,4,0,ESTIMABLE,20,10,10,10,10,True,True
ModernTCN,OpenBMI_ERP,4,1,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_ERP,4,2,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,OpenBMI_SSVEP,0,0,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_SSVEP,0,1,ESTIMABLE,20,6,6,6,6,True,True
ModernTCN,OpenBMI_SSVEP,0,2,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_SSVEP,1,0,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_SSVEP,1,1,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_SSVEP,1,2,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_SSVEP,2,0,ESTIMABLE,20,5,5,5,5,True,True
ModernTCN,OpenBMI_SSVEP,2,1,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_SSVEP,2,2,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_SSVEP,3,0,ESTIMABLE,20,7,7,7,7,True,True
ModernTCN,OpenBMI_SSVEP,3,1,ESTIMABLE,20,5,5,5,5,True,True
ModernTCN,OpenBMI_SSVEP,3,2,ESTIMABLE,20,7,7,7,7,True,True
ModernTCN,OpenBMI_SSVEP,4,0,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,OpenBMI_SSVEP,4,1,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,OpenBMI_SSVEP,4,2,ESTIMABLE,20,3,3,3,3,True,True
ModernTCN,WBCIC_MI,0,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,0,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,0,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,1,0,ESTIMABLE,20,4,4,4,4,True,True
ModernTCN,WBCIC_MI,1,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,1,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,2,0,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,WBCIC_MI,2,1,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,WBCIC_MI,2,2,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,WBCIC_MI,3,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,3,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,3,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
ModernTCN,WBCIC_MI,4,0,ESTIMABLE,20,1,1,1,1,True,True
ModernTCN,WBCIC_MI,4,1,ESTIMABLE,20,2,2,2,2,True,True
ModernTCN,WBCIC_MI,4,2,ESTIMABLE,20,5,5,5,5,True,True
Medformer,OpenBMI_MI,0,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,0,1,ESTIMABLE,20,3,3,3,3,True,True
Medformer,OpenBMI_MI,0,2,ESTIMABLE,20,3,3,3,3,True,True
Medformer,OpenBMI_MI,1,0,ESTIMABLE,20,3,3,3,3,True,True
Medformer,OpenBMI_MI,1,1,ESTIMABLE,20,2,2,2,2,True,True
Medformer,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,2,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,2,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,2,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,3,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_MI,3,1,ESTIMABLE,20,3,3,3,3,True,True
Medformer,OpenBMI_MI,3,2,ESTIMABLE,20,2,2,2,2,True,True
Medformer,OpenBMI_MI,4,0,ESTIMABLE,20,2,2,2,2,True,True
Medformer,OpenBMI_MI,4,1,ESTIMABLE,20,3,3,3,3,True,True
Medformer,OpenBMI_MI,4,2,ESTIMABLE,20,5,5,5,5,True,True
Medformer,OpenBMI_ERP,0,0,ESTIMABLE,20,5,5,5,5,True,True
Medformer,OpenBMI_ERP,0,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,0,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,1,0,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_ERP,1,1,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_ERP,1,2,ESTIMABLE,20,9,9,9,9,True,True
Medformer,OpenBMI_ERP,2,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,2,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,3,0,ESTIMABLE,20,5,5,5,5,True,True
Medformer,OpenBMI_ERP,3,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
Medformer,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_ERP,4,0,ESTIMABLE,20,6,6,6,6,True,True
Medformer,OpenBMI_ERP,4,1,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,0,0,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,0,1,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,0,2,ESTIMABLE,20,7,7,7,7,True,True
Medformer,OpenBMI_SSVEP,1,0,ESTIMABLE,20,6,6,6,6,True,True
Medformer,OpenBMI_SSVEP,1,1,ESTIMABLE,20,7,7,7,7,True,True
Medformer,OpenBMI_SSVEP,1,2,ESTIMABLE,20,7,7,7,7,True,True
Medformer,OpenBMI_SSVEP,2,0,ESTIMABLE,20,6,6,6,6,True,True
Medformer,OpenBMI_SSVEP,2,1,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,2,2,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,3,0,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,3,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_SSVEP,3,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,OpenBMI_SSVEP,4,0,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,8,8,True,True
Medformer,OpenBMI_SSVEP,4,2,ESTIMABLE,20,8,8,8,8,True,True
Medformer,WBCIC_MI,0,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,0,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,0,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,1,0,ESTIMABLE,20,2,2,2,2,True,True
Medformer,WBCIC_MI,1,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,1,2,ESTIMABLE,20,1,1,1,1,True,True
Medformer,WBCIC_MI,2,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,2,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,2,2,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,3,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,3,1,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,3,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
Medformer,WBCIC_MI,4,0,ESTIMABLE,20,4,4,4,4,True,True
Medformer,WBCIC_MI,4,1,ESTIMABLE,20,3,3,3,3,True,True
Medformer,WBCIC_MI,4,2,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_MI,0,0,ESTIMABLE,20,1,1,1,1,True,True
EEGConformer,OpenBMI_MI,0,1,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,0,2,ESTIMABLE,20,3,3,3,3,True,True
EEGConformer,OpenBMI_MI,1,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,1,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_MI,1,2,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,2,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,2,1,ESTIMABLE,20,7,7,7,7,True,True
