protocol_id,source_alias,role,backbone,fold,seed,method,lambda,relative_path,bytes,sha256
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.01/EVALUATION_COMPLETE.json,602,1ad1fe82b701116b884a03811f16e051ea313586e72ea96193ac9042785c3c2d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.01/directions.csv,2154,beb2bf815e2731f36e22300cd386df8111e585cedf866ec0827c9df1afd82479
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.01/embeddings.npz,1742452,504c0968e2db6ec6f0c6f3483d4d95c09036877f63bc0688b0487b162a42ab87
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.10/EVALUATION_COMPLETE.json,603,d8a77e5a74ad1cba72cebc17f425ebdd3b74bb23a062d61e434368bdf8eca41e
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.10/directions.csv,2126,c6b82c703ba3e98192f3e89bee545b5136354636ca42b177e05ed19ee5241d96
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-0.10/embeddings.npz,1741229,5e13230c7decbbf275c14fb0cbcf26ba3758af868273b9e3ecf403ff9853d4a6
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-1.00/EVALUATION_COMPLETE.json,602,c16e8531e72ec1cc8f8f0fbbea09b7f01d55c1a478297a08e21895d73e0f81b4
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-1.00/directions.csv,2149,514e0d1a4a64e7e7fe2e5b67f9ac7d718a803aef8617b56e7d42694a4a44be2a
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/dann__lambda-1.00/embeddings.npz,1736447,f179963d96019e0e0cbf9322e56341f7756353848db49688b813683ce7e69405
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/erm__lambda-0.00/EVALUATION_COMPLETE.json,600,607012cc257a2046d53a74019e9e765629d75a3229544667953d7f0106f174bd
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/erm__lambda-0.00/directions.csv,2163,6c3ac7a5c19198175003e8a19ebd3e5bd0f78cb2294c3ab5d2f8b942b3c9e52d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/erm__lambda-0.00/embeddings.npz,1744062,9426ef2a6d75721e0dc151347c56812c14818ad8bbaa9300932ab99fcd76beb5
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,MMD,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.01/EVALUATION_COMPLETE.json,604,d95565a574891a5ea0b156f87e86e59350d968b010d3c3be563dc787771fa381
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,MMD,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.01/directions.csv,2153,3b5714bef9ebca2fb95c30aff7d1ce35ee4adde9f6d032c3d4feafed71e8cc5c
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,MMD,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.01/embeddings.npz,1743571,499cdf940ea4f69d12e23a4594c816deb300946caf90ee033e67cab31a1c5de5
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,MMD,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.10/EVALUATION_COMPLETE.json,613,f72ccbcf20b1dec4009d03011cbcf3ae3db422b15ab424e94aed61154e386b24
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,MMD,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.10/directions.csv,2134,ea37d9974a506ecdd18312285e55db5d704af6de96c1080088e0349e68b4fdb9
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,MMD,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-0.10/embeddings.npz,1731856,2dd577db07aebe140af6eec0650e16ff7067241a3407268d8bf5f42fc9d17e8e
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,MMD,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-1.00/EVALUATION_COMPLETE.json,600,6ad871562d9fc516763051c29fb172a5df73cbcd80becc1b63662476f0c42383
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,MMD,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-1.00/directions.csv,2112,ef36bb7eb14eeca3825509fef9959466e2ccb755dae6a427f5400c82273f1355
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,MMD,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/mmd__lambda-1.00/embeddings.npz,1721486,ac93e884ba0832a174f1c9d5dd1d442abcd6e179f053c879382d7ad9c18f63db
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,lambda_selection_freeze,eegconformer,0,1,,,runtime/runs/eegconformer/fold-0/seed-1/LAMBDA_SELECTION_FROZEN.json,1824,4c0edb4b54151b427986c9a1fe75e17eaa3fd3e61c0c9f6458fa766fafb1c656
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,unit_protocol,eegconformer,0,1,,,runtime/runs/eegconformer/fold-0/seed-1/UNIT_PROTOCOL.json,1756,c3b7ba10268e07351a6704f61710ea31cdef98fd4513932837e73d47ff199dcc
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/coral__lambda-0.01.pt,599525,165af869606fdfe89c37583afc6fa23b5fa8d71f2b45892aea79d7961781788d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/coral__lambda-0.10.pt,599525,4339e574f64343cdeccf0baba8eca71c77d34387dc6e064f1279a11f57dae221
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/coral__lambda-1.00.pt,599525,b2cdf405dcd6d08141fab0b2dc363b469aba536a153579a0b8c8de6ea34ccf14
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/dann__lambda-0.01.pt,599479,2acf8a1b98932ffde65c980b66975d9fe29e15536e6b765c3a4d21c0e8d314aa
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/dann__lambda-0.10.pt,599479,735c95cdccb6ff49aa67b04feee0dc5723f75a9d7f52321b352ab36480745bcc
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/dann__lambda-1.00.pt,599479,ed957c7b1de1400701334a2d06bfeb8613b8a4b8df78ddc03ac9fdc696399367
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/erm__lambda-0.00.pt,599433,27eec84305eb9f752f6bdb68da0d693e02e968581b3959faa2badbc4c660369c
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,MMD,0.01,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/mmd__lambda-0.01.pt,599433,ff8a0d54aad4b4eafd64a0bc5f1a189b6d03b18f81b66318d35deca5523f9fec
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,MMD,0.1,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/mmd__lambda-0.10.pt,599433,5e02b30a96c744e99b0e02187fd741df3faf07136c09f93d1688c1e97fbef112
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,1,MMD,1.0,runtime/runs/eegconformer/fold-0/seed-1/checkpoints/mmd__lambda-1.00.pt,599433,f5b489c7cba7d0aaf46934da6b421011e1eecd44363d6cb0100038706241ac55
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.01/EVALUATION_COMPLETE.json,606,319a1cc078c225ddb5808b27a5cb16fa5bdfb67d2eef4f034db0ec6076d068e6
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.01/directions.csv,2205,bc9c2a59b5a468f919890f4cfaca5de70efc6b0385e23a557791413de5208b56
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.01/embeddings.npz,1740169,1095c58a0c5d3525e475628adba276c38811c0dfbbdc743a5a149fa897305ffb
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.10/EVALUATION_COMPLETE.json,604,fade531f1b97844a85d16673cfba9ed24ec60d4f4ce43a110b2bead3e95b6cad
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.10/directions.csv,2130,78d47b0995e042a25afe170393a101931ad00d30891f34c0db2582361469ed1c
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-0.10/embeddings.npz,1738872,4d1f83b92ddc021d22551c382656f240a2f83706db11dfcc04e2c906810ac268
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-1.00/EVALUATION_COMPLETE.json,616,651391bbc57f36558bdff15bbfdd80f212a8b26c340802a6f43dd4a5037e7e0d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-1.00/directions.csv,2194,654583fabe38b704e1b8af69ba1a640589b9e00dc4951771a7be5ec13a5d87dd
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/coral__lambda-1.00/embeddings.npz,1733029,5e1de2b772fa5b579063969f338471321808dbf221a01584ef7a01ab7a18e5ba
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.01/EVALUATION_COMPLETE.json,605,8ba0e810b770bc02877db878c42a24af1874a5a8eeb20115013d9594677b9a91
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.01/directions.csv,2191,a78dca911217ab29e1ac54a7f3220436570d3d40bfe7eb6364e25cf37beef5ff
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.01/embeddings.npz,1737942,b731d6270aabdf40b5aaf42837fe78c488cc9b0476ff693cea49c3d814e5db39
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.10/EVALUATION_COMPLETE.json,601,89597d92171a34f3db507835dbe77e265a70fa891b12f95ad5f846d2120248f5
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.10/directions.csv,2158,8dfb4b8a4d911ef7afd5bdd3c72a2801809b41ab1b9e536a29983286bbc4430b
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-0.10/embeddings.npz,1743803,bc0f6fb32ef617b2a0b6a5c9937e4569f32e848590e180a519468c5c439c52d7
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-1.00/EVALUATION_COMPLETE.json,603,b499e1310b73bdf7d230d3122f9f4b1963cf99abcd05cd3fe5a085a0af9166d3
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-1.00/directions.csv,2183,2b3b9a1000d4569f3755402e332eec8b3400d5b15dc276e7f7ca9d376b0a1771
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,1,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/dann__lambda-1.00/embeddings.npz,1739274,ee9f0320000bd91ad45572a3312777b85258a67cec7f65d15120b9611a84c518
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,1,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/erm__lambda-0.00/EVALUATION_COMPLETE.json,614,8de013b264c46d0eca5ad7414da54d22ee876eb9d47760770ba081fa6b366535
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,1,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-1/evaluation/erm__lambda-0.00/directions.csv,2167,4f95baa51ffaf1cc240717d3ee11f218c07f56fc2e768a069241138fbe659491
